,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location
43680,A1,112,0,2023-08-25 15:06:00+00,2023,8,Friday   ,15,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
43706,A1,61,0,2024-06-09 21:21:00+00,2024,6,Sunday   ,21,LEGENDS WAY,42.36643498675068,-71.06135455979765,"(42.366434986750676, -71.06135455979765)"
43784,C11,254,0,2023-08-25 17:18:00+00,2023,8,Friday   ,17,DORCHESTER AVE,42.31090995811388,-71.05767468840078,"(42.310909958113875, -71.05767468840078)"
43832,C11,450,0,2024-06-13 09:13:00+00,2024,6,Thursday ,9,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
43853,C11,248,0,2024-06-11 11:03:00+00,2024,6,Tuesday  ,11,DORCHESTER AVE,42.31322365348008,-71.0571533161321,"(42.31322365348008, -71.0571533161321)"
43933,B3,476,0,2024-08-03 15:54:00+00,2024,8,Saturday ,15,BLUE HILL AVE,42.2699468933332,-71.0938037982284,"(42.2699468933332, -71.0938037982284)"
43969,D4,146,0,2023-08-25 18:30:00+00,2023,8,Friday   ,18,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
43982,B2,239,0,2023-08-25 08:22:00+00,2023,8,Friday   ,8,DUDLEY ST,42.31735425056758,-71.06583025569181,"(42.31735425056758, -71.06583025569181)"
44023,D4,133,0,2024-08-07 13:38:00+00,2024,8,Wednesday,13,NEWBURY ST,42.351761332162205,-71.07452217168813,"(42.351761332162205, -71.07452217168813)"
44044,A1,104,0,2024-05-22 17:40:00+00,2024,5,Wednesday,17,WASHINGTON ST,42.35648582614597,-71.05928190137298,"(42.35648582614597, -71.05928190137298)"
44051,D4,138,0,2024-05-22 19:55:00+00,2024,5,Wednesday,19,NEWBURY ST,42.34999687778176,-71.08103491858215,"(42.34999687778176, -71.08103491858215)"
44059,D14,803,0,2024-05-22 15:46:00+00,2024,5,Wednesday,15,CAMBRIDGE ST,42.35393454703682,-71.13652657631967,"(42.35393454703682, -71.13652657631967)"
44103,D4,142,0,2023-12-10 14:49:00+00,2023,12,Sunday   ,14,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
44106,D4,170,0,2023-12-10 12:49:00+00,2023,12,Sunday   ,12,WASHINGTON ST,42.33674970032857,-71.07662841437093,"(42.33674970032857, -71.07662841437093)"
44200,D14,803,0,2024-06-11 14:13:00+00,2024,6,Tuesday  ,14,CAMBRIDGE ST,42.35393454703682,-71.13652657631967,"(42.35393454703682, -71.13652657631967)"
44284,C11,364,0,2023-11-14 18:27:00+00,2023,11,Tuesday  ,18,ADAMS ST,42.29509263132662,-71.05624828374468,"(42.29509263132662, -71.05624828374468)"
44340,D4,138,0,2024-08-07 14:15:00+00,2024,8,Wednesday,14,NEWBURY ST,42.34999687778176,-71.08103491858215,"(42.34999687778176, -71.08103491858215)"
44346,E13,304,0,2024-05-28 08:17:00+00,2024,5,Tuesday  ,8,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
44370,D14,763,0,2024-05-23 15:00:00+00,2024,5,Thursday ,15,WASHINGTON ST,42.3491004057814,-71.15612458962403,"(42.3491004057814, -71.15612458962403)"
44398,D4,143,0,2024-06-10 15:23:00+00,2024,6,Monday   ,15,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
44419,A7,26,0,2023-08-25 00:00:00+00,2023,8,Friday   ,0,BORDER ST,42.37382704784248,-71.04052495666849,"(42.373827047842475, -71.04052495666849)"
44436,D4,134,0,2023-08-30 13:59:00+00,2023,8,Wednesday,13,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
44499,E18,525,0,2024-05-28 16:57:00+00,2024,5,Tuesday  ,16,TRUMAN PKWY,42.24124892522304,-71.12629992589298,"(42.24124892522304, -71.12629992589298)"
44581,E5,562,0,2024-04-02 17:22:00+00,2024,4,Tuesday  ,17,WASHINGTON ST,42.28788894494422,-71.12658660943728,"(42.28788894494422, -71.12658660943728)"
44590,E13,304,0,2024-04-02 12:07:00+00,2024,4,Tuesday  ,12,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
44615,A1,104,0,2024-03-14 17:51:00+00,2024,3,Thursday ,17,WASHINGTON ST,42.35648582614597,-71.05928190137298,"(42.35648582614597, -71.05928190137298)"
44628,D4,,0,2023-05-09 11:03:00+00,2023,5,Tuesday  ,11,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
44647,D4,,0,2023-05-07 19:00:00+00,2023,5,Sunday   ,19,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
44650,D4,,0,2023-05-09 10:22:00+00,2023,5,Tuesday  ,10,HARRISON AVE,42.34496681296949,-71.06382272667581,"(42.34496681296949, -71.06382272667581)"
44670,D4,,0,2023-05-05 16:00:00+00,2023,5,Friday   ,16,COPLEY PL,42.3480093216636,-71.07669810985298,"(42.348009321663596, -71.07669810985298)"
44704,C11,452,0,2024-03-15 13:09:00+00,2024,3,Friday   ,13,WASHINGTON ST,42.29569634200888,-71.07214116564936,"(42.295696342008874, -71.07214116564936)"
44728,A1,112,0,2024-02-23 17:03:00+00,2024,2,Friday   ,17,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
44753,D4,146,0,2024-02-20 15:08:00+00,2024,2,Tuesday  ,15,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
44765,C11,248,0,2024-04-03 10:59:00+00,2024,4,Wednesday,10,DORCHESTER AVE,42.31322365348008,-71.0571533161321,"(42.31322365348008, -71.0571533161321)"
44772,C11,450,0,2024-04-03 09:09:00+00,2024,4,Wednesday,9,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
44775,C11,355,0,2024-04-02 14:51:00+00,2024,4,Tuesday  ,14,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
44819,D4,627,0,2024-05-07 18:45:00+00,2024,5,Tuesday  ,18,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
44821,D4,161,0,2024-05-06 17:52:00+00,2024,5,Monday   ,17,TREMONT ST,42.345902536876274,-71.06946371819969,"(42.345902536876274, -71.06946371819969)"
44838,A1,112,0,2024-02-02 18:13:00+00,2024,2,Friday   ,18,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
44867,D4,,0,2023-05-23 17:20:00+00,2023,5,Tuesday  ,17,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
44882,D4,,0,2023-05-09 14:37:00+00,2023,5,Tuesday  ,14,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
44887,D4,,0,2023-05-07 16:09:00+00,2023,5,Sunday   ,16,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
44906,B3,,0,2023-08-02 16:41:00+00,2023,8,Wednesday,16,TALBOT AVE,42.29453910732405,-71.08669955198306,"(42.29453910732405, -71.08669955198306)"
44919,C11,450,0,2024-01-31 10:59:00+00,2024,1,Wednesday,10,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
44928,B3,426,0,2024-01-31 16:36:00+00,2024,1,Wednesday,16,BLUE HILL AVE,42.26820155864584,-71.09367416656292,"(42.268201558645835, -71.09367416656292)"
44933,B2,593,0,2024-01-31 18:54:00+00,2024,1,Wednesday,18,LONGWOOD AVE,42.33856958607009,-71.1067074086278,"(42.33856958607009, -71.1067074086278)"
44941,D4,627,0,2024-01-31 11:31:00+00,2024,1,Wednesday,11,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
44984,D4,162,0,2024-06-10 10:50:00+00,2024,6,Monday   ,10,HARRISON AVE,42.34496681296949,-71.06382272667581,"(42.34496681296949, -71.06382272667581)"
45007,E5,691,0,2024-06-13 10:02:00+00,2024,6,Thursday ,10,CENTRE ST,42.2874700073094,-71.15159920985828,"(42.287470007309395, -71.15159920985828)"
45021,D4,146,0,2024-02-21 16:45:00+00,2024,2,Wednesday,16,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
45035,A1,111,0,2023-10-31 14:55:00+00,2023,10,Tuesday  ,14,MACYS,,,
45040,D14,763,0,2024-06-13 12:00:00+00,2024,6,Thursday ,12,WASHINGTON ST,42.3491004057814,-71.15612458962403,"(42.3491004057814, -71.15612458962403)"
